user_id,total_spent,avg_transaction,transaction_count,spend_std,age,annual_income,credit_score,employment_years,income_expense_ratio,spend_per_transaction,credit_score_scaled,income_expense_ratio_scaled,spend_std_scaled,employment_years_scaled,risk_score,risk_category
1,852118.09,2979.433881118881,286,1403.2587143122632,59,1956940,584,5,2.296559623561096,2979.433881118881,0.11409395973154379,0.9269964772220562,0.39354386985788326,0.20833333333333331,52.94269448989194,Medium Risk
2,890864.3,2949.8817880794704,302,1414.6966216832877,49,1438356,550,6,1.6145623974380834,2949.8817880794704,0.0,0.6070154091996427,0.4249336245390669,0.25,66.53821021479204,High Risk
3,898386.37,3045.377525423729,295,1450.6237773664336,35,1501193,845,4,1.6709881740525516,3045.377525423729,0.9899328859060401,0.633489388232858,0.5235307338445288,0.16666666666666666,34.31828202319343,Low Risk
4,948992.8,3051.4237942122186,311,1382.086891123199,28,845977,609,10,0.891447226996875,3051.4237942122186,0.19798657718120793,0.2677425270262883,0.3354407296154913,0.41666666666666663,65.4970085801789,High Risk
5,955417.69,2976.3790965732087,321,1473.0080868587822,41,1699181,816,12,1.7784692682422492,2976.3790965732087,0.8926174496644297,0.6839176216533174,0.5849613750344109,0.5,32.44008811283366,Low Risk
6,893304.88,2938.5028947368423,304,1457.8955204404415,59,1212606,778,24,1.3574380115330837,2938.5028947368423,0.7651006711409396,0.4863771830235601,0.5434870268790344,1.0,34.49990155694099,Low Risk
7,917740.73,2941.4766987179487,312,1483.8528156778814,39,1189465,819,18,1.2960795583301616,2941.4766987179487,0.9026845637583891,0.4575888791477714,0.6147232332286685,0.75,35.72283855859661,Medium Risk
8,869918.97,2979.1745547945206,292,1624.2412964193343,43,833636,835,22,0.9582915521430692,2979.1745547945206,0.9563758389261747,0.2991047052467299,1.0000000000000004,0.9166666666666666,43.803704480182,Medium Risk
9,870725.71,3002.5024482758618,290,1390.988122786117,31,1241218,840,9,1.4254982777527037,3002.5024482758618,0.9731543624161074,0.5183098593463751,0.35986892869036735,0.375,31.962680108852336,Low Risk
10,987533.11,2947.8600298507463,335,1447.4415518427322,31,338102,762,9,0.34237029277934794,2947.8600298507463,0.7114093959731544,0.010125315243514066,0.5147975560621805,0.375,59.46786280487778,Medium Risk
11,898340.99,3045.2236949152543,295,1389.4562533535336,44,374460,714,10,0.41683503721677,3045.2236949152543,0.5503355704697985,0.04506285977071808,0.3556649249217929,0.41666666666666663,60.24966773887137,Medium Risk
12,925868.15,2977.068006430868,311,1515.4924145346756,56,1713354,554,20,1.8505377898570115,2977.068006430868,0.01342281879194629,0.7177309007016526,0.701553735881784,0.8333333333333333,59.529349038867984,Medium Risk
13,939834.99,3071.3561764705883,306,1416.6362938130178,44,1438506,627,6,1.5305942163315287,3071.3561764705883,0.25838926174496635,0.5676190198285098,0.43025678640243337,0.25,58.78294097211955,Medium Risk
14,883305.2,3025.017808219178,292,1445.5379483924323,23,1879665,611,17,2.1279904159966456,3025.017808219178,0.2046979865771812,0.8479067786043735,0.5095733797004671,0.7083333333333333,46.964834705676786,Medium Risk
15,842389.1900000001,3008.5328214285714,280,1468.434427464494,42,1976014,681,3,2.3457257327815424,3008.5328214285714,0.4395973154362416,0.9500643483749918,0.5724095994582519,0.125,45.68535549764683,Medium Risk
16,934499.38,2957.2765189873417,316,1521.3602582260876,22,479208,638,1,0.5127964878906608,2957.2765189873417,0.2953020134228188,0.09008627966080612,0.717657221249008,0.041666666666666664,80.68998556535732,High Risk
17,965131.0,3154.0228758169933,306,1479.8053199276344,44,1503273,786,13,1.5575844108209145,3154.0228758169933,0.7919463087248322,0.5802823429741799,0.6036154409942918,0.5416666666666666,38.82071772529131,Medium Risk
18,966003.85,2945.13368902439,328,1428.1992143505997,50,513945,591,12,0.5320320410731283,2945.13368902439,0.13758389261744974,0.09911126189763667,0.46198962242733366,0.5,73.95101835000682,High Risk
19,946326.8,3175.593288590604,298,1482.3951098703749,58,531915,638,11,0.5620838382681331,3175.593288590604,0.2953020134228188,0.11321103502591645,0.610722761270758,0.4583333333333333,71.607553704839,High Risk
20,869889.51,2979.0736643835617,292,1427.3141862308162,22,1027952,845,6,1.1817040994091308,2979.0736643835617,0.9899328859060401,0.40392593141240346,0.4595607851702379,0.25,38.675786754321244,Medium Risk
21,922970.26,2939.3957324840767,314,1500.9053570233782,41,508124,844,1,0.550531281473793,2939.3957324840767,0.9865771812080539,0.10779077916584973,0.6615215742330638,0.041666666666666664,54.84150676740389,Medium Risk
22,898024.17,3064.9289078498296,293,1474.3619052188124,53,737477,653,12,0.8212217717926233,3064.9289078498296,0.34563758389261734,0.23479398222595582,0.5886767422625003,0.5,65.13239994222972,High Risk
23,957755.28,3160.908514851485,303,1460.31651208258,32,825830,563,13,0.8622557528474288,3160.908514851485,0.043624161073825496,0.2540464022948314,0.5501311035677863,0.5416666666666666,73.72938436492689,High Risk
24,881990.53,3116.5743109540635,283,1417.0448549952762,42,1632397,837,16,1.8508101215100348,3116.5743109540635,0.9630872483221475,0.7178586739093034,0.4313780260547002,0.6666666666666666,23.383746612539742,Low Risk
25,948993.63,3012.6781904761906,315,1344.394645532288,45,1526380,728,8,1.6084196476640207,3012.6781904761906,0.5973154362416109,0.6041333393641497,0.23199957520652248,0.3333333333333333,40.60995105474957,Medium Risk
